Model,dof,Iterations,Median Final Loss,Avg Slope (last 10),Median Std (last 10)
mlp-fosls,114,10,0.2640750291215568,6.959675929097645e-05,0.07082369936227693
mlp-fosls,354,10,0.011127239272107514,-2.1607102668043e-05,0.010040488392529063
mlp-fosls,626,10,0.0073427721945708065,1.5115289147340505e-06,0.001758766963065644
mlp-fosls,2274,10,0.002588807934631775,-1.8228047359195144e-05,0.000805431067700411
mlp-fosls,3330,10,0.0032744695199803516,-1.0671332082844432e-05,0.0014091838305169441
mlp-fosls,12802,10,0.0017108432169011952,8.008522171453648e-06,0.000333297459207489
mlp-fosls,16962,10,0.002345928232518977,1.0029436045698503e-05,0.0008453788682934252
mlp-fosls,66690,10,0.002051249162986713,-7.330395064180318e-05,0.0006209471463551875
mlp-fosls,264450,10,0.0013615860876371312,-5.233381000458115e-06,0.00031580780555017944
mlp_V0-fosls,114,10,0.2656413371551257,2.530982955825428e-05,0.07793538302744332
mlp_V0-fosls,354,10,0.026154338580016118,-4.672884174879077e-05,0.006774498789706392
mlp_V0-fosls,626,10,0.021634073107181205,-4.581406786063813e-05,0.01234528173814883
mlp_V0-fosls,2274,10,0.0027634074745472833,-5.657275644012505e-05,0.0009598279123369105
mlp_V0-fosls,3330,10,0.001735323613137172,1.8229074464226612e-06,0.0006393651056520466
mlp_V0-fosls,12802,10,0.0010890081769537041,-3.0268092332957685e-05,0.00022035197107018873
mlp_V0-fosls,16962,10,0.0010600834496838555,1.9638757224335058e-05,0.00023552635690369142
mlp_V0-fosls,66690,10,0.0008621722022800343,9.754952218212542e-06,0.0002009311693888629
mlp_V0-fosls,264450,10,0.0005130745904233274,-1.1877931867657842e-05,0.00012980628380147578
