Model,dof,Iterations,Median Final Loss,Avg Slope (last 10),Median Std (last 10)
mlp-fosls,114,10,0.3342557383147554,6.0034413631637915e-05,0.07403521078032074
mlp-fosls,354,10,0.027212733132183614,3.085109708375367e-05,0.014663209791990437
mlp-fosls,626,10,0.01732514352774243,-2.882542064239946e-05,0.002410339753281777
mlp-fosls,2274,10,0.006889639630163723,1.4478269453920056e-05,0.0013817655175659745
mlp-fosls,3330,10,0.007428778119523886,-2.2805240632146616e-06,0.0020239683667030873
mlp-fosls,12802,10,0.00430163200584918,-1.5227008452590507e-05,0.0007605707453327062
mlp-fosls,16962,10,0.005415009005990544,1.2087157224877299e-05,0.001177361772225031
mlp-fosls,66690,10,0.004780276689995842,-2.071667167366287e-05,0.0007991875634022405
mlp-fosls,264450,10,0.002697311068937068,2.8152727335064576e-06,0.00034017247759304163
mlp_V0-fosls,114,10,0.5302239761591803,6.322792376164871e-06,0.10256486736396427
mlp_V0-fosls,354,10,0.08991126967583854,-2.682327907692983e-05,0.020666698355829412
mlp_V0-fosls,626,10,0.040426576905354464,-3.104609749984166e-05,0.017727552092042166
mlp_V0-fosls,2274,10,0.009815296126130416,-7.4576943477669965e-06,0.0016898370789309798
mlp_V0-fosls,3330,10,0.0075512646336559335,-5.2224250127757e-06,0.0011848661814661435
mlp_V0-fosls,12802,10,0.004530631374544243,-5.683581658231907e-06,0.00023469916278543143
mlp_V0-fosls,16962,10,0.0044353710216442415,-1.1821408786943932e-05,0.0004268333053707954
mlp_V0-fosls,66690,10,0.0035884072739952614,7.2637170274894026e-06,0.0004005645500581821
mlp_V0-fosls,264450,10,0.0019225924821034699,2.2988121797231643e-06,0.00017615308570425952
