Model,dof,Iterations,Median Final Loss,Avg Slope (last 10),Median Std (last 10)
mlp-fosls,114,10,0.26038392908682984,5.75302631281227e-06,0.021058974394411012
mlp-fosls,354,10,0.1971931766168502,-6.315970134028126e-06,0.010933273063541847
mlp-fosls,626,10,0.1105992225919695,3.695037303057036e-06,0.004971293682440051
mlp-fosls,2274,10,0.08919009725069713,8.350929451979017e-07,0.0038912408710548942
mlp-fosls,3330,10,0.05905205073020066,-1.2492728290503518e-05,0.005546499964204851
mlp-fosls,12802,10,0.0521494477446158,-1.0873801185869336e-05,0.0035208500077516455
mlp-fosls,16962,10,0.04374277558603952,4.574552079361527e-06,0.0021947098865344747
mlp-fosls,66690,10,0.04112175470838296,-1.4081668032309703e-06,0.0026686947913874435
mlp-fosls,264450,10,0.03742401630508238,4.814406990173881e-06,0.0017523963370322496
mlp_V0-fosls,114,10,0.4302511612559913,-2.890856551250265e-06,0.007393865841661136
mlp_V0-fosls,354,10,0.3869409873111047,6.56927744604685e-07,0.007063363630129597
mlp_V0-fosls,626,10,0.3077164527953232,-4.344371056327179e-06,0.013869862526542343
mlp_V0-fosls,2274,10,0.23296943981195128,-1.4542907881007205e-06,0.00545548751883797
mlp_V0-fosls,3330,10,0.19795828717779368,9.803301579008329e-07,0.010055644838398384
mlp_V0-fosls,12802,10,0.1675746307151555,-1.925006628013759e-06,0.0029713354985512167
mlp_V0-fosls,16962,10,0.15831169263295547,5.710092948424949e-07,0.003468388234769229
mlp_V0-fosls,66690,10,0.14613162659056794,-1.2385234679832547e-06,0.003637040410492229
mlp_V0-fosls,264450,10,0.13702244405680114,-9.47516078995847e-07,0.001939436307736453
