Model,dof,Iterations,Median Final Loss,Avg Slope (last 10),Median Std (last 10)
mlp-fosls,114,10,0.3410877821035244,8.984946961913348e-06,0.03470585636976508
mlp-fosls,354,10,0.268145787071104,-2.2023793769166968e-06,0.0165130898259623
mlp-fosls,626,10,0.13834673444038276,3.463046836581718e-06,0.007344429218678292
mlp-fosls,2274,10,0.11358753197009366,1.7206505793352367e-06,0.006078988202699947
mlp-fosls,3330,10,0.07352595211019572,-1.3718798182710712e-05,0.0071793706187200665
mlp-fosls,12802,10,0.06599028335350168,-6.549873151474373e-06,0.003679341933204882
mlp-fosls,16962,10,0.05765792901879669,3.857158156489015e-06,0.001880443214001526
mlp-fosls,66690,10,0.05570301143571449,-3.016856916833177e-07,0.0024953582324492387
mlp-fosls,264450,10,0.05343247067804231,6.927482255236761e-08,0.0018101136113289108
mlp_V0-fosls,114,10,0.4346447251371271,-6.824132011968853e-07,0.0022822560164994406
mlp_V0-fosls,354,10,0.4039465902167305,1.4430094988022445e-06,0.00750725353562916
mlp_V0-fosls,626,10,0.31270942721722855,-5.0026616240890775e-06,0.016567269001254378
mlp_V0-fosls,2274,10,0.23777865927145525,-1.1675342092324904e-06,0.004932693770539701
mlp_V0-fosls,3330,10,0.20139188410443706,8.718542909008087e-07,0.010264146889321092
mlp_V0-fosls,12802,10,0.17168980112570642,-2.1674535820508376e-06,0.0030701511456416157
mlp_V0-fosls,16962,10,0.1620959519770548,6.046566396887831e-07,0.0035036581471413497
mlp_V0-fosls,66690,10,0.15050452344185067,-5.742482779220182e-07,0.003928185533516194
mlp_V0-fosls,264450,10,0.1415012045980496,-5.184249038886479e-07,0.002092515576231774
